path,pH,well,hour,split
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W2.JPG,5,2,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W2.JPG,5,2,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W2.JPG,5,2,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W2.JPG,5,2,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W2.JPG,5,2,72,test
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W2.JPG,5,2,95,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W2.JPG,5,2,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W2.JPG,5,2,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W2.JPG,5,2,192,test
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W2.JPG,5,2,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W2.JPG,5,2,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W7.JPG,5,7,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W7.JPG,5,7,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W7.JPG,5,7,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W7.JPG,5,7,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W7.JPG,5,7,72,test
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W7.JPG,5,7,95,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W7.JPG,5,7,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W7.JPG,5,7,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W7.JPG,5,7,192,test
